Date,Name,Email,Position,Seniority,Location,Studio,Client,Client Tag,Project,Project Tag,Team Name,Email Leader,Year,Month,Day,Date_timestamp,Engagement
10Apr23,Alberto Bravo,alberto.bravo@tec.globant.com,Data Analyst,Ssr,AR/CABA/BA,Data,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,2.3
10Apr23,Alberto Cordero,alberto.cordero@tec.globant.com,Project Manager,Sr Level 1,CL/RM/SCL,Delivery,HealthSphere Technologies,HSTGIE,Horizon Expansion,HOREXP,Finding Nemo's Friends,,2023,4,10,2023-04-10,5.0
10Apr23,Alberto Ramírez,alberto.ramirez@tec.globant.com,Project Manager,Sr Level 1,CO/CUN/BOG,Delivery,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,,2023,4,10,2023-04-10,2.44
10Apr23,Alberto Sánchez,alberto.sanchez@tec.globant.com,Software Developer,Sr Level 1,CO/CUN/BOG,Engineering,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,carlos.ortega@tec.globant.com,2023,4,10,2023-04-10,3.29
10Apr23,Ana Aguayo,ana.aguayo@tec.globant.com,Business Analyst,Ssr,MX/CDMX/CDMX,Product,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,ana.gomez@tec.globant.com,2023,4,10,2023-04-10,3.32
10Apr23,Ana Gómez,ana.gomez@tec.globant.com,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,,2023,4,10,2023-04-10,1.63
10Apr23,Ana Paredes,ana.paredes@tec.globant.com,Quality Assurance Tester,Sr Level 1,MX/CDMX/CDMX,Quality Engineering,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,ana.gomez@tec.globant.com,2023,4,10,2023-04-10,3.23
10Apr23,Ana Ponce,ana.ponce@tec.globant.com,Test Automation Engineer,Ssr,CL/RM/SCL,Quality Engineering,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,2.5
10Apr23,Ana Rojas,ana.rojas@tec.globant.com,Cybersecurity Specialist,Ssr,AR/CABA/BA,Cloud Ops,HealthSphere Technologies,HSTGIE,Horizon Expansion,HOREXP,Finding Nemo's Friends,alberto.cordero@tec.globant.com,2023,4,10,2023-04-10,0.0
10Apr23,Ana Salas,ana.salas@tec.globant.com,Technology Consultant,Sr Level 2,CL/RM/SCL,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,,2023,4,10,2023-04-10,2.82
10Apr23,Andrés Medina,andres.medina@tec.globant.com,Software Developer,Ssr,CL/RM/SCL,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,ana.salas@tec.globant.com,2023,4,10,2023-04-10,2.0
10Apr23,Carlos Morales,carlos.morales@tec.globant.com,Quality Assurance Tester,Sr Level 2,AR/CABA/BA,Quality Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,ana.salas@tec.globant.com,2023,4,10,2023-04-10,2.85
10Apr23,Carlos Ortega,carlos.ortega@tec.globant.com,Project Manager,Sr Level 2,CO/CUN/BOG,Delivery,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,,2023,4,10,2023-04-10,3.47
10Apr23,Carlos Silva,carlos.silva@tec.globant.com,DevOps Engineer,Ssr,MX/JALISCO/GDL,Cloud Ops,HealthSphere Technologies,HSTGIE,Horizon Expansion,HOREXP,Finding Nemo's Friends,alberto.cordero@tec.globant.com,2023,4,10,2023-04-10,4.76
10Apr23,Carlos Villanueva,carlos.villanueva@tec.globant.com,Software Developer,Ssr,CL/RM/SCL,Engineering,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,ana.gomez@tec.globant.com,2023,4,10,2023-04-10,1.62
10Apr23,Carolina Herrera,carolina.herrera@tec.globant.com,Business Analyst,Jr,CL/RM/SCL,Product,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,3.69
10Apr23,Cristian Bravo,cristian.bravo@tec.globant.com,Solutions Architect,Sr Level 3,MX/JALISCO/GDL,Engineering,EcoBuild Enterprises,EBEPRI,Echo System,ECOSYS,Fight Club Penguin,,2023,4,10,2023-04-10,3.02
10Apr23,Cristian Rodríguez,cristian.rodriguez@tec.globant.com,Product Owner,Sr Level 2,MX/CDMX/CDMX,Product,EcoBuild Enterprises,EBEPRI,Echo System,ECOSYS,Fight Club Penguin,cristian.bravo@tec.globant.com,2023,4,10,2023-04-10,3.63
10Apr23,Daniel Alvarado,daniel.alvarado@tec.globant.com,Test Automation Engineer,Ssr,CO/ANT/MED,Quality Engineering,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,carlos.ortega@tec.globant.com,2023,4,10,2023-04-10,3.56
10Apr23,Daniel Escobar,daniel.escobar@tec.globant.com,Test Automation Engineer,Jr,MX/CDMX/CDMX,Quality Engineering,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,carlos.ortega@tec.globant.com,2023,4,10,2023-04-10,2.96
10Apr23,Daniel Ruiz,daniel.ruiz@tec.globant.com,Test Automation Engineer,Jr,MX/JALISCO/GDL,Quality Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,ana.salas@tec.globant.com,2023,4,10,2023-04-10,3.49
10Apr23,Daniel Ríos,daniel.rios@tec.globant.com,Visual Designer,Sr Level 1,CO/CUN/BOG,Design,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,alberto.ramirez@tec.globant.com,2023,4,10,2023-04-10,3.67
10Apr23,Elena Aguirre,elena.aguirre@tec.globant.com,Software Developer,Sr Level 2,CO/CUN/BOG,Engineering,EcoBuild Enterprises,EBEPRI,Echo System,ECOSYS,Fight Club Penguin,cristian.bravo@tec.globant.com,2023,4,10,2023-04-10,3.21
10Apr23,Elena Castaño,elena.castano@tec.globant.com,Software Developer,Jr,AR/CABA/BA,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,alberto.ramirez@tec.globant.com,2023,4,10,2023-04-10,2.65
10Apr23,Elena Castillo,elena.castillo@tec.globant.com,Software Developer,Jr,MX/CDMX/CDMX,Engineering,EcoBuild Enterprises,EBEPRI,Echo System,ECOSYS,Fight Club Penguin,cristian.bravo@tec.globant.com,2023,4,10,2023-04-10,2.89
10Apr23,Elena Pérez,elena.perez@tec.globant.com,Software Developer,Jr,CL/RM/SCL,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,ana.salas@tec.globant.com,2023,4,10,2023-04-10,3.35
10Apr23,Elena Salazar,elena.salazar@tec.globant.com,Software Developer,Sr Level 1,CO/CUN/BOG,Engineering,EcoBuild Enterprises,EBEPRI,Echo System,ECOSYS,Fight Club Penguin,cristian.bravo@tec.globant.com,2023,4,10,2023-04-10,3.9
10Apr23,Felipe Castro,felipe.castro@tec.globant.com,Database Administrator,Sr Level 1,AR/CABA/BA,Cloud Ops,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,3.85
10Apr23,Felipe Ruiz,felipe.ruiz@tec.globant.com,Software Developer,Sr Level 2,CO/CUN/BOG,Engineering,EcoBuild Enterprises,EBEPRI,Serenity Project,STYPRJ,The Lion Kingpin,juan.aguirre@tec.globant.com,2023,4,10,2023-04-10,3.0700000000000003
10Apr23,Fernando Ramírez,fernando.ramirez@tec.globant.com,Software Developer,Sr Level 2,AR/CABA/BA,Engineering,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,3.45
10Apr23,Gabriela Fernández,gabriela.fernandez@tec.globant.com,Software Developer,Sr Level 1,AR/CABA/BA,Engineering,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,2.73
10Apr23,Gabriela Pérez,gabriela.perez@tec.globant.com,Solutions Architect,Sr Level 3,MX/JALISCO/GDL,Engineering,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,3.35
10Apr23,Gabriela Rojas,gabriela.rojas@tec.globant.com,Test Automation Engineer,Sr Level 1,AR/CABA/BA,Quality Engineering,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,4.03
10Apr23,Isabel Fernández,isabel.fernandez@tec.globant.com,User Experience Designer,Sr Level 1,AR/CABA/BA,Design,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Jurassic Bark,miguel.sandoval@tec.globant.com,2023,4,10,2023-04-10,3.68
10Apr23,Isabel Ríos,isabel.rios@tec.globant.com,Business Analyst,Sr Level 2,MX/CDMX/CDMX,Product,EcoBuild Enterprises,EBEPRI,Serenity Project,STYPRJ,The Lion Kingpin,juan.aguirre@tec.globant.com,2023,4,10,2023-04-10,0.03
10Apr23,Isabel Sánchez,isabel.sanchez@tec.globant.com,Business Intelligence,Sr Level 2,AR/CABA/BA,Data,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,3.56
10Apr23,Javier Delgado,javier.delgado@tec.globant.com,Software Developer,Sr Level 1,CO/ANT/MED,Engineering,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Jurassic Bark,miguel.sandoval@tec.globant.com,2023,4,10,2023-04-10,2.16
10Apr23,Javier Rodríguez,javier.rodriguez@tec.globant.com,DevOps Engineer,Sr Level 2,AR/CABA/BA,Cloud Ops,EcoBuild Enterprises,EBEPRI,Odyssey Quest,ODYQST,Paws and Recreation,valeria.ponce@tec.globant.com,2023,4,10,2023-04-10,3.41
10Apr23,Jimena Morales,jimena.morales@tec.globant.com,Business Analyst,Ssr,CO/CUN/BOG,Product,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,carlos.ortega@tec.globant.com,2023,4,10,2023-04-10,5.0
10Apr23,Jimena Pérez,jimena.perez@tec.globant.com,Quality Assurance Tester,Ssr,AR/CABA/BA,Quality Engineering,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Jurassic Bark,miguel.sandoval@tec.globant.com,2023,4,10,2023-04-10,3.45
10Apr23,Jimena Soto,jimena.soto@tec.globant.com,Data Analyst,Sr Level 2,AR/CABA/BA,Data,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,2.98
10Apr23,Juan Aguirre,juan.aguirre@tec.globant.com,Project Manager,Sr Level 1,CO/ANT/MED,Delivery,EcoBuild Enterprises,EBEPRI,Serenity Project,STYPRJ,The Lion Kingpin,,2023,4,10,2023-04-10,2.32
10Apr23,Juan Soto,juan.soto@tec.globant.com,Quality Assurance Tester,Sr Level 1,CO/CUN/BOG,Quality Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,alberto.ramirez@tec.globant.com,2023,4,10,2023-04-10,2.733333333333333
10Apr23,Laura Bravo,laura.bravo@tec.globant.com,DevOps Engineer,Sr Level 1,CO/ANT/MED,Cloud Ops,EcoBuild Enterprises,EBEPRI,Serenity Project,STYPRJ,The Lion Kingpin,juan.aguirre@tec.globant.com,2023,4,10,2023-04-10,2.7
10Apr23,Laura Cortés,laura.cortes@tec.globant.com,Software Developer,Ssr,CO/CUN/BOG,Engineering,EcoBuild Enterprises,EBEPRI,Serenity Project,STYPRJ,The Lion Kingpin,juan.aguirre@tec.globant.com,2023,4,10,2023-04-10,2.92
10Apr23,Laura Escobar,laura.escobar@tec.globant.com,Software Developer,Jr,CO/ANT/MED,Engineering,EduSmart Systems,EDUSYS,Vanguard Initiative,VGRDIN,The Matrix Mice,carlos.ortega@tec.globant.com,2023,4,10,2023-04-10,2.59
10Apr23,Laura Zamora,laura.zamora@tec.globant.com,Software Developer,Sr Level 1,AR/CABA/BA,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,Game of Tones,ana.salas@tec.globant.com,2023,4,10,2023-04-10,3.81
10Apr23,Lucía Arce,lucia.arce@tec.globant.com,Software Developer,Ssr,AR/CABA/BA,Engineering,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,valeria.diaz@tec.globant.com,2023,4,10,2023-04-10,1.54
10Apr23,Lucía Mendoza,lucia.mendoza@tec.globant.com,Business Analyst,Sr Level 1,CL/RM/SCL,Product,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Jurassic Bark,miguel.sandoval@tec.globant.com,2023,4,10,2023-04-10,3.73
10Apr23,Luis Arce,luis.arce@tec.globant.com,Business Intelligence,Sr Level 1,AR/CABA/BA,Data,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Star Wars: The Furry Awakens,pedro.rodriguez@tec.globant.com,2023,4,10,2023-04-10,2.72
10Apr23,Luis Soto,luis.soto@tec.globant.com,Software Developer,Ssr,CO/ANT/MED,Engineering,EduSmart Systems,EDUSYS,Catalyst Program,CATPRO,Jurassic Bark,miguel.sandoval@tec.globant.com,2023,4,10,2023-04-10,2.61
10Apr23,Mariana Bravo,mariana.bravo@tec.globant.com,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,ana.gomez@tec.globant.com,2023,4,10,2023-04-10,4.1
10Apr23,Mariana Díaz,mariana.diaz@tec.globant.com,Software Developer,Sr Level 1,AR/CABA/BA,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,alberto.ramirez@tec.globant.com,2023,4,10,2023-04-10,3.79
10Apr23,Mariana Ruiz,mariana.ruiz@tec.globant.com,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,TechNova Solutions,TECNVS,Nexus Development,NEXDEV,The Great Catsby,alberto.ramirez@tec.globant.com,2023,4,10,2023-04-10,3.66
